trade_id,analysis_id,symbol,platform,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit_1,take_profit_2,take_profit_3,position_size,ticket,status,exit_reason,pnl,pnl_percent,realized_rr,duration_minutes,commission,slippage,max_favorable_excursion,max_adverse_excursion,original_stop_loss
trade_20260224_045718_451713,analysis_20260224_045717_714601,XAU/USD,mt5,long,2026-02-24 04:57:18.451713,2026-02-24 05:05:17.470167,5168.625,5169.725,5169.7246172,5176.70396428571,5184.76292857143,,0.39,2414408725,closed,stop_loss,42.9,0.0408,1.0,7.8,0.0,0.0,3.0600000000004,3.71299999999974,
trade_20260224_050740_118147,analysis_20260224_050739_402871,XAU/USD,mt5,long,2026-02-24 05:07:40.118996,2026-02-24 05:13:53.562556,5171.284,5172.216,5172.2158696,5179.90814285714,5188.23828571428,,0.38,2414437498,closed,stop_loss,35.42,0.0337,1.0,6.2,0.0,0.0,2.57500000000073,1.76399999999921,
trade_20260224_051802_765364,analysis_20260224_051801_407033,XAU/USD,mt5,long,2026-02-24 05:18:02.765364,2026-02-24 05:22:41.387025,5172.971,5173.259,5173.2585567,5179.50707142857,5186.50114285714,,0.45,2414460401,closed,stop_loss,12.96,0.0123,1.0,4.6,0.0,0.0,1.87100000000009,1.02399999999943,
trade_20260224_052316_504594,analysis_20260224_052315_739398,XAU/USD,mt5,long,2026-02-24 05:23:16.504594,2026-02-24 05:28:06.053896,5174.124,5168.465,5168.46507142857,5180.05489285714,5187.00878571429,,0.45,2414473275,closed,stop_loss,-254.65,-0.2429,-1.0,4.7,0.0,0.0,0.239999999999782,5.01800000000003,
trade_20260224_052859_975609,analysis_20260224_052859_164740,XAU/USD,mt5,long,2026-02-24 05:28:59.975609,2026-02-24 05:32:59.390660,5169.317,5169.476,5169.4756919,5175.7665,5182.869,,0.44,2414488965,closed,stop_loss,6.99,0.0067,1.0,3.9,0.0,0.0,1.875,4.02999999999975,
trade_20260224_053413_160436,analysis_20260224_053412_347040,XAU/USD,mt5,long,2026-02-24 05:34:13.160436,2026-02-24 05:35:41.883305,5169.776,5172.971,5172.9706431,5178.11353571428,5185.56607142857,,0.42,2414510150,closed,stop_loss,134.19,0.1278,1.0001,1.4,0.0,0.00036,4.7470000000003,0.182999999999993,
trade_20260224_053925_998106,analysis_20260224_053925_215167,XAU/USD,mt5,long,2026-02-24 05:39:25.998106,2026-02-24 05:40:33.903507,5169.791,5170.207,5170.2074723,5178.94332142857,5186.88164285714,,0.4,2414524945,closed,stop_loss,16.64,0.0159,0.9989,1,0.0,0.00047,1.96799999999985,0.0,
trade_20260224_054438_777874,analysis_20260224_054437_968798,XAU/USD,mt5,long,2026-02-24 05:44:38.777874,2026-02-24 05:54:57.868638,5172.721,5180.583,5178.2300648,5180.58271428571,5188.33042857143,,0.41,2414537717,closed,take_profit,322.34,0.3062,1.4271,10.2,0.0,0.0,7.61000000000058,0.295999999999367,
trade_20260224_060009_716717,analysis_20260224_060008_932840,XAU/USD,mt5,long,2026-02-24 06:00:09.716717,2026-02-24 06:08:08.108553,5182.339,5183.088,5183.0876071,5190.37246428571,5198.11192857143,,0.41,2414589011,closed,stop_loss,30.71,0.0292,1.0,7.9,0.0,0.0,2.30400000000009,4.53600000000006,
trade_20260224_061031_905190,analysis_20260224_061031_150466,XAU/USD,mt5,long,2026-02-24 06:10:31.905190,2026-02-24 06:21:24.250176,5183.97,5177.858,5177.85842857143,5191.33735714286,5199.42471428571,,0.39,2414627559,closed,stop_loss,-238.37,-0.2267,-1.0,10.8,0.0,0.0,0.354999999999563,4.16400000000067,
trade_20260224_062602_984694,analysis_20260224_062602_103069,XAU/USD,mt5,long,2026-02-24 06:26:02.984694,2026-02-24 06:29:36.764694,5176.696,5171.717,5171.71742857143,5185.44385714286,5193.67971428571,,0.38,2414677983,closed,stop_loss,-189.2,-0.1802,-1.0,3.5,0.0,0.0,0.878999999999905,4.36700000000019,
trade_20260224_063115_810201,analysis_20260224_063115_102811,XAU/USD,mt5,long,2026-02-24 06:31:15.810201,2026-02-24 06:35:08.974020,5170.899,5164.308,5164.30821428571,5179.54267857143,5188.68335714286,,0.34,2414700418,closed,stop_loss,-224.1,-0.2139,-1.0,3.8,0.0,0.0,1.4989999999998,6.48100000000068,
trade_20260224_063628_384335,analysis_20260224_063627_577443,XAU/USD,mt5,long,2026-02-24 06:36:28.384335,2026-02-24 06:39:54.677636,5157.276,5170.794,5164.7251175,5170.79417857143,5180.81835714286,,0.31,2414729502,closed,take_profit,419.05,0.3987,1.8147,2.8,0.0,0.0,11.9629999999997,0.0,
trade_20260224_064140_937428,analysis_20260224_064140_241130,XAU/USD,mt5,long,2026-02-24 06:41:40.937428,2026-02-24 06:50:20.140414,5171.143,5172.135,5172.1348939,5181.23192857143,5191.52385714286,,0.31,2414751118,closed,stop_loss,30.76,0.0293,1.0,8.5,0.0,0.0,2.75500000000011,2.05400000000009,
trade_20260224_065202_444162,analysis_20260224_065201_656007,XAU/USD,mt5,long,2026-02-24 06:52:02.444162,2026-02-24 07:00:07.193072,5170.396,5173.128,5173.127596,5180.651,5190.77,,0.31,2414781948,closed,stop_loss,84.69,0.0805,1.0,8,0.0,0.0,4.3110000000006,1.77399999999943,
trade_20260224_070224_275647,analysis_20260224_070223_610421,XAU/USD,mt5,long,2026-02-24 07:02:24.275647,2026-02-24 07:05:51.199875,5169.848,5170.689,5170.4743922,5180.81817857143,5190.95635714286,,0.31,2414816405,closed,stop_loss,26.07,0.0248,1.3435,3.2,0.0,0.215,2.39300000000003,0.0410000000001673,
trade_20260224_070736_725110,analysis_20260224_070736_061595,XAU/USD,mt5,long,2026-02-24 07:07:36.725110,2026-02-24 07:21:03.316950,5173.341,5177.488,5177.4882874,5181.53985714286,5191.82171428571,,0.31,2414841766,closed,stop_loss,128.56,0.122,1.0,13.4,0.0,0.0,5.86499999999978,8.21500000000015,
trade_20260224_072338_577325,analysis_20260224_072337_751455,XAU/USD,mt5,long,2026-02-24 07:23:38.577325,2026-02-24 07:30:02.391766,5174.791,5183.056,5181.1102005,5183.05553571428,5194.33307142857,,0.28,2414922880,closed,take_profit,231.42,0.2192,1.3079,6.3,0.0,0.0,7.8739999999998,1.71399999999994,
trade_20260224_073400_516932,analysis_20260224_073359_758009,XAU/USD,mt5,long,2026-02-24 07:34:00.516932,2026-02-24 07:44:50.160581,5179.38,5181.421,5181.4211072,5189.164,5201.701,,0.25,2414978183,closed,stop_loss,51.03,0.0483,0.9999,10.7,0.0,0.00011,3.59599999999955,1.6230000000005,
